City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Sola,VU,77.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
7,Kurdzhinovo,RU,81.79,clear sky,43.9884,40.9552,Camping Bolshaya Laba
14,Kouango,CF,79.12,overcast clouds,4.9934,19.9619,
20,Manokwari,ID,80.96,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
21,Dongargaon,IN,85.53,overcast clouds,20.9667,80.85,S r farmhouse
26,Siva,EG,86.65,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
34,Sembakung,ID,85.93,broken clouds,3.8167,117.25,
37,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
42,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
48,Bilma,NE,89.67,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
51,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
54,Praxedis Guerrero,MX,79.81,overcast clouds,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
55,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
58,Atuona,PF,78.37,scattered clouds,-9.8,-139.0333,Villa Enata
59,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
61,Yerbogachen,RU,86.22,scattered clouds,61.2767,108.0108,
65,Kavaratti,IN,81.99,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
66,Sabang,ID,83.84,overcast clouds,5.8933,95.3214,Hotel Citra
77,Lorengau,PG,82.35,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
79,Nikolskoye,RU,80.49,clear sky,59.7035,30.7861,Tourist House - Sablino
81,Fukue,JP,82.76,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
85,Kavieng,PG,81.37,moderate rain,-2.5744,150.7967,Nusa Island Retreat
86,Cumberland,US,75.87,clear sky,35.0502,-78.8664,American Eagle Inn
89,Bayburt,TR,87.42,clear sky,40.2589,40.2278,Bayburt Otel Konaklama
90,Roald,NO,83.16,clear sky,62.5833,6.1333,Flem Cabins
91,Bengkulu,ID,84.24,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
92,Gonaives,HT,75.58,overcast clouds,19.45,-72.6833,Vertières Doux Séjour
95,Bibiani,GH,75.33,broken clouds,6.4635,-2.3194,Rodick Hotel
96,Marshall,US,75.49,clear sky,34.3834,-86.3333,Riverview Campground
97,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
100,Hithadhoo,MV,82.31,light rain,-0.6,73.0833,Scoop Guest House
103,Kailua,US,80.58,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
105,Butaritari,KI,79.29,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
106,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
108,Marneuli,GE,83.14,few clouds,41.4759,44.8089,KavKaz Hotel & Restaurant
117,Sobolevo,RU,79.21,clear sky,54.4299,31.8996,
120,Nangomba,TZ,78.44,clear sky,-10.9,38.5,
121,Nabire,ID,80.26,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
125,Jelgava,LV,82.44,scattered clouds,56.65,23.7128,Hotel Jelgava
132,Kapit,MY,88.79,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
135,Cotonou,BJ,79.09,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
141,Berdigestyakh,RU,83.91,clear sky,62.0989,126.6992,
142,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
144,Tomatlan,MX,76.59,overcast clouds,19.9333,-105.25,El Salvial
145,Mao,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
146,Sinnamary,GF,75.94,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
