City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,70.11,93,1,0.0,clear sky
1,Severo-Kurilsk,RU,50.6789,156.125,58.71,95,61,5.64,broken clouds
2,Vao,NC,-22.6667,167.4833,69.31,61,58,15.95,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,72.25,78,79,12.64,light rain
4,Sola,VU,-13.8833,167.55,77.67,100,90,0.0,overcast clouds
5,Yellowknife,CA,62.456,-114.3525,52.29,84,20,5.75,few clouds
6,Busselton,AU,-33.65,115.3333,60.04,78,90,26.13,overcast clouds
7,Kurdzhinovo,RU,43.9884,40.9552,81.79,53,1,6.98,clear sky
8,Thompson,CA,55.7435,-97.8558,33.96,93,20,2.3,few clouds
9,Port Hardy,CA,50.6996,-127.4199,56.82,95,53,2.98,broken clouds
10,Tres Lagoas,BR,-20.7511,-51.6783,62.55,47,0,4.68,clear sky
11,Sao Filipe,CV,14.8961,-24.4956,74.61,72,63,1.43,broken clouds
12,Bilibino,RU,68.0546,166.4372,54.5,58,95,6.35,overcast clouds
13,North Bend,US,43.4065,-124.2243,58.24,94,90,9.22,overcast clouds
14,Kouango,CF,4.9934,19.9619,79.12,74,100,5.97,overcast clouds
15,Presque Isle,US,46.6811,-68.0159,64.83,94,90,4.61,moderate rain
16,Alice Springs,AU,-23.7,133.8833,69.35,14,49,5.75,scattered clouds
17,Pevek,RU,69.7008,170.3133,35.29,92,15,12.84,few clouds
18,Mirante Do Paranapanema,BR,-22.2919,-51.9064,44.53,45,1,5.39,clear sky
19,East London,ZA,-33.0153,27.9116,72.54,21,0,8.05,clear sky
20,Manokwari,ID,-0.8667,134.0833,80.96,72,15,2.04,few clouds
21,Dongargaon,IN,20.9667,80.85,85.53,64,100,18.57,overcast clouds
22,Khatanga,RU,71.9667,102.5,70.07,42,36,3.4,scattered clouds
23,Neuquen,AR,-38.9516,-68.0591,31.89,100,0,3.44,clear sky
24,Hobart,AU,-42.8794,147.3294,55.26,67,20,5.99,few clouds
25,Cidreira,BR,-30.1811,-50.2056,64.06,90,100,2.62,overcast clouds
26,Siva,EG,29.2041,25.5195,86.65,34,0,6.02,clear sky
27,Mataura,NZ,-46.1927,168.8643,48.47,99,100,3.36,light rain
